label,file,stream,sni,packet_1,packet_2,packet_3,packet_4,packet_5,packet_6,packet_7,packet_8,packet_9,packet_10,packet_11,packet_12,packet_13,packet_14,packet_15,packet_16,packet_17,packet_18,packet_19,packet_20,packet_21,packet_22,packet_23,packet_24,packet_25,packet_26,packet_27,packet_28,packet_29,packet_30
www.cnki.net,cnki.pcap,11462,inds.cnki.net,788,245,80,677,271,856,797,1460,105,1460,98,449,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,2332,r.cnki.net,594,1460,528,80,1456,271,271,611,1460,10,1460,10,1460,10,929,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,17326,edge.microsoft.com,814,154,51,99,394,69,38,38,281,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.wzu.edu.cn,wzu.pcap,62,edge-consumer-static.azureedge.net,586,99,652,1460,224,74,92,248,459,62,511,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.wzu.edu.cn,wzu.pcap,4820,p1.img.cctvpic.com,778,156,51,802,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.12371.cn,12371.pcap,1265,p5.img.cctvpic.com,746,1460,890,93,817,274,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,6871,cx.cnki.net,818,1460,46,342,266,2389,373,1445,1445,1445,229,1445,1445,1445,1445,1445,1445,405,1445,1445,1445,1445,1445,1445,1445,469,1445,1445,1445,1445
www.runoob.com,runoob.pcap,2282,csm.sg1.as.criteo.net,924,238,64,92,564,64,268,31,301,267,39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.52pojie.cn,52pojie.pcap,5258,r.cnki.net,530,1460,528,80,1456,271,271,655,1460,22,1460,22,1460,22,1460,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,13834,r.cnki.net,594,1460,528,80,1456,271,271,584,478,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.wzu.edu.cn,wzu.pcap,1148,activity.windows.com,219,1460,452,165,51,1599,1684,1460,746,1586,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,9543,r.cnki.net,849,245,80,1456,271,1121,418,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.52pojie.cn,52pojie.pcap,7841,ctwh.cnki.net,884,245,80,1456,271,667,1460,10,1460,10,1460,10,1460,10,1460,1458,1460,1460,1460,164,0,0,0,0,0,0,0,0,0,0
www.52pojie.cn,52pojie.pcap,7658,c61.cnki.net,819,245,80,1456,271,642,1052,790,1460,120,790,1460,120,1460,1460,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.wzu.edu.cn,wzu.pcap,955,ttwid.bytedance.com,571,1460,582,80,92,485,112,311,382,31,939,31,39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,8405,inds.cnki.net,820,245,80,631,271,474,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,22342,i1.hdslb.com,596,1460,1292,80,271,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,426,m.cnki.net,881,245,80,1771,271,1460,22,1460,1460,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,12260,piccache.cnki.net,856,245,80,1456,271,554,1460,98,790,790,1460,98,1460,866,1460,866,1460,1460,123,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,22942,www.google-analytics.com,975,385,74,92,743,976,31,278,66,39,31,39,470,145,31,39,39,475,67,31,39,39,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,1964,r.cnki.net,517,1460,528,80,1456,271,271,663,1460,10,1460,10,1460,10,1460,1446,1460,1460,1460,1460,1460,1460,1460,383,0,0,0,0,0,0
www.runoob.com,runoob.pcap,2979,hb-api.omnitagjs.com,843,203,64,766,1172,570,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.52pojie.cn,52pojie.pcap,5001,smpt.cnki.net,820,245,80,1456,271,637,1460,10,1460,52,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.52pojie.cn,52pojie.pcap,2413,wenku.cnki.net,885,245,80,664,271,357,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
www.wzu.edu.cn,wzu.pcap,4724,p5.img.cctvpic.com,517,1460,890,93,710,274,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.freesion.com,freesion.pcap,1044,ww1097.smartadserver.com,879,241,80,287,255,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.runoob.com,runoob.pcap,2073,id5-sync.com,675,1460,1293,64,92,438,79,79,52,1211,31,87,1050,39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,13797,r.cnki.net,849,245,80,1456,271,584,478,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,9300,zhengbao.cnki.net,601,1460,528,80,2616,271,271,1460,945,1460,1460,1460,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,2505,r.cnki.net,517,1460,528,80,1456,271,271,674,1408,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.12371.cn,12371.pcap,1263,p3.img.cctvpic.com,746,1460,890,93,714,274,467,1460,1460,762,715,467,1460,1460,963,715,452,1460,271,715,452,1460,1460,277,715,451,1460,649,715,451
